DATE,Station_ID,Predicted_TMIN,Actual_TMIN,Lower_Bound_TMIN,Upper_Bound_TMIN,Cold_Event_Probability
2025-01-08,USC00438169,-16.35947,-16.1,-16.73947,-15.979470000000001,0.0
2025-01-09,USC00438169,-18.163584,-17.2,-18.543584,-17.783584,0.0
2025-01-10,USC00438169,-15.327082,-14.4,-15.707082000000002,-14.947082,0.0
2025-01-11,USC00438169,-14.905535,-14.4,-15.285535000000001,-14.525535,0.0
2025-01-12,USC00438169,-10.875036,-10.6,-11.255036,-10.495035999999999,0.0
2025-01-13,USC00438169,-11.403681,-11.1,-11.783681000000001,-11.023681,0.0
2025-01-14,USC00438169,-9.564246,-9.4,-9.944246000000001,-9.184246,0.0
2025-01-15,USC00438169,-11.990379,-12.2,-12.370379000000002,-11.610379,0.0
2025-01-16,USC00438169,-17.863567,-17.8,-18.243567,-17.483567,0.0
2025-01-17,USC00438169,-13.975789,-13.9,-14.355789000000001,-13.595789,0.0
2025-01-18,USC00438169,-12.017735,-11.7,-12.397735,-11.637735,0.0
2025-01-19,USC00438169,-5.3733206,-5.6,-5.7533205999999995,-4.9933206,0.0
2025-01-20,USC00438169,-16.753792,-16.7,-17.133792,-16.373792,0.0
2025-01-21,USC00438169,-22.701103,-23.3,-23.081103,-22.321103,0.0
2025-01-22,USC00438169,-24.944365,-25.0,-25.324365,-24.564365000000002,16.222572000000035
2025-01-23,USC00438169,-24.018703,-23.9,-24.398702999999998,-23.638703,6.965952000000009
2025-01-24,USC00438169,-16.07999,-15.0,-16.459989999999998,-15.699989999999998,0.0
2025-01-25,USC00438169,-22.008759,-22.2,-22.388759,-21.628759000000002,0.0
2025-01-26,USC00438169,-21.401018,-21.1,-21.781018,-21.021018,0.0
2025-01-27,USC00438169,-10.630175,-9.4,-11.010175,-10.250174999999999,0.0
2025-01-28,USC00438169,-9.221838,-8.3,-9.601838,-8.841838,0.0
2025-01-29,USC00438169,-20.68625,-20.6,-21.06625,-20.306250000000002,0.0
2025-01-30,USC00438169,-23.212872,-22.8,-23.592872,-22.832872000000002,0.0
2025-01-31,USC00438169,-22.730778,-22.8,-23.110778,-22.350778000000002,0.0
2025-02-01,USC00438169,-14.127275,-13.3,-14.507275,-13.747274999999998,0.0
2025-02-02,USC00438169,-26.606571,-26.7,-26.986570999999998,-26.226571,32.84463200000001
2025-02-03,USC00438169,-25.829826,-25.6,-26.209826,-25.449826,25.077182000000033
2025-02-04,USC00438169,-11.870153,-11.1,-12.250153000000001,-11.490153,0.0
2025-02-05,USC00438169,-20.689358,-20.6,-21.069357999999998,-20.309358,0.0
2025-02-06,USC00438169,-22.74591,-22.2,-23.125909999999998,-22.36591,0.0
2025-02-07,USC00438169,-18.950024,-18.9,-19.330023999999998,-18.570024,0.0
2025-02-08,USC00438169,-15.60496,-14.4,-15.984960000000001,-15.22496,0.0
2025-02-09,USC00438169,-14.493341,-13.3,-14.873341,-14.113340999999998,0.0
2025-02-10,USC00438169,-12.746993,-11.7,-13.126993,-12.366992999999999,0.0
2025-02-11,USC00438169,-20.705929,-20.6,-21.085929,-20.325929000000002,0.0
2025-02-12,USC00438169,-17.987532,-17.8,-18.367532,-17.607532000000003,0.0
2025-02-13,USC00438169,-15.568122,-15.0,-15.948122000000001,-15.188122,0.0
2025-02-14,USC00438169,-15.171367,-13.9,-15.551367,-14.791367,0.0
2025-02-15,USC00438169,-19.82971,-20.0,-20.209709999999998,-19.44971,0.0
2025-02-16,USC00438169,-17.53805,-17.2,-17.918049999999997,-17.15805,0.0
2025-02-17,USC00438169,-15.4626875,-15.0,-15.8426875,-15.082687499999999,0.0
2025-02-18,USC00438169,-17.490313,-16.7,-17.870313,-17.110313,0.0
