ID,YEAR,Month,ELEMENT,VALUE1,VALUE2,VALUE3,VALUE4,VALUE5,VALUE6,VALUE7,VALUE8,VALUE9,VALUE10,VALUE11,VALUE12,VALUE13,VALUE14,VALUE15,VALUE16,VALUE17,VALUE18,VALUE19,VALUE20,VALUE21,VALUE22,VALUE23,VALUE24,VALUE25,VALUE26,VALUE27,VALUE28,VALUE29,VALUE30,VALUE31
USC00275995,2025,3,TMIN,-61.0,-139.0,-194.0,-150.0,-83.0,-6.0,-67.0,-67.0,-50.0,-44.0,-33.0,-17.0,-50.0,-50.0,-28.0,-22.0,44.0,-6.0,-28.0,-6.0,22.0,-17.0,-67.0,-67.0,-72.0,,,,,,
USC00276365,2025,2,TMIN,-117.0,-328.0,-306.0,-94.0,-228.0,-272.0,-239.0,-150.0,-144.0,-111.0,-189.0,-194.0,-183.0,-150.0,-239.0,-194.0,-144.0,-172.0,-217.0,-278.0,-222.0,-133.0,-122.0,-67.0,-61.0,-33.0,-106.0,-56.0,,,
USC00276365,2025,3,TMIN,-94.0,-189.0,-289.0,-222.0,-83.0,-28.0,-100.0,-94.0,-133.0,-117.0,-61.0,-67.0,-100.0,-100.0,-67.0,-39.0,28.0,-67.0,-61.0,-50.0,-6.0,-83.0,-106.0,-111.0,-72.0,,,,,,
USC00276550,2025,2,TMIN,,,,-72.0,-133.0,-183.0,-161.0,,,,-167.0,-172.0,-161.0,-67.0,-150.0,-67.0,-156.0,-111.0,-150.0,-200.0,-194.0,,,,-33.0,-17.0,-28.0,-17.0,,,
USC00276550,2025,3,TMIN,-22.0,-128.0,-178.0,-178.0,-83.0,-11.0,-56.0,-56.0,-78.0,-78.0,-44.0,-39.0,-22.0,-50.0,-50.0,-17.0,-50.0,-22.0,-28.0,-28.0,33.0,-44.0,-50.0,-61.0,0.0,,,,,,
USC00276818,2025,2,TMIN,-117.0,-233.0,-239.0,-83.0,-156.0,-217.0,-161.0,-111.0,-111.0,,-156.0,-156.0,-161.0,-122.0,-133.0,-139.0,-128.0,-161.0,,-183.0,-183.0,-144.0,-144.0,-139.0,-144.0,-11.0,-83.0,-56.0,,,
USC00276818,2025,3,TMIN,-100.0,-167.0,-189.0,-189.0,-111.0,-11.0,-83.0,-111.0,-106.0,-78.0,-39.0,-33.0,-67.0,-67.0,-78.0,6.0,44.0,-44.0,-50.0,-28.0,-33.0,-22.0,-106.0,-106.0,-78.0,,,,,,
USC00276856,2025,2,TMIN,,-333.0,,,-194.0,-278.0,-250.0,,-144.0,-144.0,-222.0,,-222.0,-133.0,-228.0,-228.0,-139.0,-172.0,,-256.0,-250.0,,-122.0,-106.0,,,-122.0,-100.0,,,
USC00276856,2025,3,TMIN,-122.0,-172.0,-272.0,-250.0,-106.0,-22.0,-106.0,-106.0,-100.0,-100.0,-106.0,-94.0,-122.0,-111.0,-61.0,,22.0,,-56.0,-33.0,6.0,-67.0,-117.0,-117.0,-111.0,,,,,,
USC00277833,2025,2,TMIN,-94.0,-211.0,-217.0,-78.0,-133.0,-200.0,,-94.0,-94.0,-83.0,-178.0,-183.0,-156.0,-78.0,-133.0,,-83.0,-111.0,-150.0,-156.0,-139.0,-111.0,-111.0,-28.0,-22.0,0.0,-28.0,-17.0,,,
