DATE,ID,TMIN
2025-03-17,USC00276856,22.0
2025-03-19,USC00276856,-56.0
2025-03-20,USC00276856,-33.0
2025-03-21,USC00276856,6.0
2025-03-22,USC00276856,-67.0
2025-03-23,USC00276856,-117.0
2025-03-24,USC00276856,-117.0
2025-03-25,USC00276856,-111.0
2025-02-01,USC00277833,-94.0
2025-02-02,USC00277833,-211.0
2025-02-03,USC00277833,-217.0
2025-02-04,USC00277833,-78.0
2025-02-05,USC00277833,-133.0
2025-02-06,USC00277833,-200.0
2025-02-08,USC00277833,-94.0
2025-02-09,USC00277833,-94.0
2025-02-10,USC00277833,-83.0
2025-02-11,USC00277833,-178.0
2025-02-12,USC00277833,-183.0
2025-02-13,USC00277833,-156.0
2025-02-14,USC00277833,-78.0
2025-02-15,USC00277833,-133.0
2025-02-17,USC00277833,-83.0
2025-02-18,USC00277833,-111.0
2025-02-19,USC00277833,-150.0
2025-02-20,USC00277833,-156.0
2025-02-21,USC00277833,-139.0
2025-02-22,USC00277833,-111.0
2025-02-23,USC00277833,-111.0
2025-02-24,USC00277833,-28.0
2025-02-25,USC00277833,-22.0
2025-02-26,USC00277833,0.0
2025-02-27,USC00277833,-28.0
2025-02-28,USC00277833,-17.0
2025-03-01,USC00277833,-44.0
2025-03-02,USC00277833,-133.0
2025-03-03,USC00277833,-172.0
2025-03-05,USC00277833,-83.0
2025-03-06,USC00277833,-6.0
2025-03-07,USC00277833,-56.0
2025-03-08,USC00277833,-56.0
2025-03-09,USC00277833,-56.0
2025-03-10,USC00277833,-50.0
2025-03-11,USC00277833,-39.0
2025-03-12,USC00277833,-17.0
2025-03-13,USC00277833,-39.0
2025-03-14,USC00277833,-56.0
2025-03-15,USC00277833,-44.0
2025-03-16,USC00277833,-17.0
2025-03-17,USC00277833,61.0
2025-03-18,USC00277833,-17.0
2025-03-19,USC00277833,-39.0
2025-03-20,USC00277833,-22.0
2025-03-21,USC00277833,28.0
2025-03-22,USC00277833,-28.0
2025-03-23,USC00277833,-67.0
2025-03-24,USC00277833,-67.0
2025-03-25,USC00277833,-44.0
2025-02-04,USC00278539,-67.0
2025-02-05,USC00278539,-133.0
2025-02-06,USC00278539,-189.0
2025-02-07,USC00278539,-161.0
2025-02-11,USC00278539,-167.0
2025-02-12,USC00278539,-167.0
2025-02-13,USC00278539,-167.0
2025-02-14,USC00278539,-67.0
2025-02-19,USC00278539,-150.0
2025-02-20,USC00278539,-178.0
2025-02-21,USC00278539,-172.0
2025-02-25,USC00278539,-28.0
2025-02-26,USC00278539,-11.0
2025-02-28,USC00278539,-17.0
2025-03-04,USC00278539,-172.0
2025-03-05,USC00278539,-83.0
2025-03-11,USC00278539,-50.0
2025-03-12,USC00278539,-50.0
2025-03-13,USC00278539,-56.0
2025-03-14,USC00278539,-50.0
2025-03-18,USC00278539,-17.0
2025-03-19,USC00278539,-33.0
2025-03-20,USC00278539,-33.0
2025-03-21,USC00278539,33.0
2025-03-25,USC00278539,-17.0
2025-02-01,USC00278614,-83.0
2025-02-02,USC00278614,-250.0
2025-02-03,USC00278614,-250.0
2025-02-04,USC00278614,-83.0
2025-02-05,USC00278614,-206.0
2025-02-06,USC00278614,-222.0
2025-02-07,USC00278614,-211.0
2025-02-08,USC00278614,-128.0
2025-02-09,USC00278614,-122.0
2025-02-10,USC00278614,-139.0
2025-02-11,USC00278614,-217.0
2025-02-12,USC00278614,-217.0
2025-02-13,USC00278614,-172.0
2025-02-14,USC00278614,-78.0
2025-02-15,USC00278614,-178.0
2025-02-16,USC00278614,-172.0
2025-02-17,USC00278614,-94.0
2025-02-18,USC00278614,-117.0
2025-02-19,USC00278614,-167.0
2025-02-20,USC00278614,-200.0
2025-02-21,USC00278614,-200.0
2025-02-22,USC00278614,-144.0
2025-02-23,USC00278614,-144.0
2025-02-24,USC00278614,-50.0
2025-02-25,USC00278614,-44.0
2025-02-26,USC00278614,-39.0
2025-02-27,USC00278614,-56.0
2025-02-28,USC00278614,-39.0
2025-03-01,USC00278614,-56.0
2025-03-02,USC00278614,-139.0
2025-03-03,USC00278614,-194.0
2025-03-04,USC00278614,-189.0
2025-03-05,USC00278614,-100.0
2025-03-06,USC00278614,-17.0
2025-03-07,USC00278614,-61.0
2025-03-08,USC00278614,-56.0
2025-03-09,USC00278614,-44.0
2025-03-10,USC00278614,-56.0
