DATE,ID,PRCP
2025-02-15,US1NHCH0021,0.0
2025-02-16,US1NHCH0021,109.0
2025-02-17,US1NHCH0021,203.0
2025-02-18,US1NHCH0021,0.0
2025-02-19,US1NHCH0021,0.0
2025-02-20,US1NHCH0021,0.0
2025-02-21,US1NHCH0021,0.0
2025-02-22,US1NHCH0021,0.0
2025-02-23,US1NHCH0021,0.0
2025-02-24,US1NHCH0021,0.0
2025-02-25,US1NHCH0021,0.0
2025-02-26,US1NHCH0021,0.0
2025-02-27,US1NHCH0021,28.0
2025-02-28,US1NHCH0021,107.0
2025-03-01,US1NHCH0021,0.0
2025-03-02,US1NHCH0021,0.0
2025-03-03,US1NHCH0021,0.0
2025-03-04,US1NHCH0021,0.0
2025-03-05,US1NHCH0021,0.0
2025-03-06,US1NHCH0021,221.0
2025-03-07,US1NHCH0021,0.0
2025-03-08,US1NHCH0021,0.0
2025-03-09,US1NHCH0021,0.0
2025-03-10,US1NHCH0021,0.0
2025-03-11,US1NHCH0021,0.0
2025-03-12,US1NHCH0021,0.0
2025-03-13,US1NHCH0021,0.0
2025-03-14,US1NHCH0021,0.0
2025-03-15,US1NHCH0021,0.0
2025-03-16,US1NHCH0021,0.0
2025-03-17,US1NHCH0021,251.0
2025-03-18,US1NHCH0021,76.0
2025-03-19,US1NHCH0021,0.0
2025-03-20,US1NHCH0021,0.0
2025-03-21,US1NHCH0021,89.0
2025-03-22,US1NHCH0021,5.0
2025-03-23,US1NHCH0021,10.0
2025-03-24,US1NHCH0021,0.0
2025-03-25,US1NHCH0021,107.0
2025-02-01,US1NHCH0024,122.0
2025-02-02,US1NHCH0024,0.0
2025-02-03,US1NHCH0024,38.0
2025-02-04,US1NHCH0024,8.0
2025-02-05,US1NHCH0024,0.0
2025-02-06,US1NHCH0024,0.0
2025-02-07,US1NHCH0024,86.0
2025-02-08,US1NHCH0024,0.0
2025-02-09,US1NHCH0024,137.0
2025-02-10,US1NHCH0024,0.0
2025-02-11,US1NHCH0024,0.0
2025-02-12,US1NHCH0024,0.0
2025-02-13,US1NHCH0024,28.0
2025-02-14,US1NHCH0024,36.0
2025-02-15,US1NHCH0024,0.0
2025-02-16,US1NHCH0024,140.0
2025-02-17,US1NHCH0024,198.0
2025-02-18,US1NHCH0024,0.0
2025-02-19,US1NHCH0024,0.0
2025-02-20,US1NHCH0024,0.0
2025-02-21,US1NHCH0024,0.0
2025-02-22,US1NHCH0024,0.0
2025-02-23,US1NHCH0024,0.0
2025-02-24,US1NHCH0024,0.0
2025-02-25,US1NHCH0024,0.0
2025-02-26,US1NHCH0024,0.0
2025-02-27,US1NHCH0024,18.0
2025-02-28,US1NHCH0024,135.0
2025-03-01,US1NHCH0024,8.0
2025-03-02,US1NHCH0024,0.0
2025-03-03,US1NHCH0024,0.0
2025-03-04,US1NHCH0024,0.0
2025-03-05,US1NHCH0024,0.0
2025-03-06,US1NHCH0024,246.0
2025-03-07,US1NHCH0024,0.0
2025-03-08,US1NHCH0024,0.0
2025-03-09,US1NHCH0024,0.0
2025-03-10,US1NHCH0024,0.0
2025-03-11,US1NHCH0024,0.0
2025-03-12,US1NHCH0024,0.0
2025-03-13,US1NHCH0024,0.0
2025-03-14,US1NHCH0024,0.0
2025-03-15,US1NHCH0024,0.0
2025-03-16,US1NHCH0024,0.0
2025-03-17,US1NHCH0024,170.0
2025-03-18,US1NHCH0024,56.0
2025-03-19,US1NHCH0024,0.0
2025-03-20,US1NHCH0024,0.0
2025-03-21,US1NHCH0024,104.0
2025-03-22,US1NHCH0024,33.0
