DATE,ID,TMAX,TMIN,PRCP,SNOW,WT18,SNWD,WT04,WT09
1897-12-22,USC00272174,-33.0,-156.0,0.0,0.0,,,,
1897-12-23,USC00272174,-17.0,-94.0,0.0,0.0,,,,
1897-12-24,USC00272174,-67.0,-139.0,0.0,0.0,,,,
1897-12-25,USC00272174,-44.0,-217.0,0.0,0.0,,,,
1897-12-26,USC00272174,-28.0,-94.0,5.0,8.0,,,,
1897-12-27,USC00272174,6.0,-111.0,0.0,0.0,,,,
1897-12-28,USC00272174,-67.0,-167.0,0.0,0.0,,,,
1897-12-29,USC00272174,-44.0,-222.0,0.0,25.0,,,,
1897-12-30,USC00272174,50.0,-67.0,51.0,64.0,,,,
1897-12-31,USC00272174,22.0,-33.0,170.0,203.0,,,,
1898-01-01,USC00272174,-56.0,-78.0,0.0,0.0,,,,
1898-01-02,USC00272174,-89.0,-267.0,0.0,0.0,,,,
1898-01-03,USC00272174,-39.0,-111.0,0.0,0.0,,,,
1898-01-04,USC00272174,-133.0,-250.0,0.0,0.0,,,,
1898-01-05,USC00272174,11.0,-178.0,46.0,51.0,,,,
1898-01-06,USC00272174,22.0,-144.0,13.0,0.0,,,,
1898-01-07,USC00272174,44.0,-22.0,127.0,0.0,,,,
1898-01-08,USC00272174,50.0,-72.0,0.0,0.0,,,,
1898-01-09,USC00272174,28.0,-67.0,0.0,0.0,,,,
1898-01-10,USC00272174,22.0,-156.0,0.0,0.0,,,,
1898-01-11,USC00272174,22.0,-83.0,0.0,0.0,,,,
1898-01-12,USC00272174,44.0,-28.0,56.0,0.0,,,,
1898-01-13,USC00272174,89.0,-44.0,0.0,0.0,,,,
1898-01-14,USC00272174,-11.0,-94.0,0.0,0.0,,,,
1898-01-15,USC00272174,6.0,-39.0,117.0,38.0,,,,
1898-01-16,USC00272174,0.0,-78.0,0.0,0.0,,,,
1898-01-17,USC00272174,-78.0,-156.0,0.0,0.0,,,,
1898-01-18,USC00272174,-44.0,-206.0,0.0,0.0,,,,
1898-01-19,USC00272174,-6.0,-178.0,0.0,0.0,,,,
1898-01-20,USC00272174,22.0,-100.0,330.0,76.0,,,,
1898-01-21,USC00272174,50.0,6.0,0.0,0.0,,,,
1898-01-22,USC00272174,17.0,-11.0,0.0,0.0,,,,
1898-01-23,USC00272174,22.0,-11.0,241.0,178.0,,,,
1898-01-24,USC00272174,11.0,-67.0,0.0,0.0,,,,
1898-01-25,USC00272174,-17.0,-178.0,8.0,13.0,,,,
1898-01-26,USC00272174,6.0,-67.0,137.0,152.0,,,,
1898-01-27,USC00272174,-17.0,-172.0,0.0,0.0,,,,
1898-01-28,USC00272174,-111.0,-239.0,0.0,0.0,,,,
1898-01-29,USC00272174,-83.0,-250.0,0.0,0.0,,,,
1898-01-30,USC00272174,-133.0,-306.0,0.0,0.0,,,,
1898-01-31,USC00272174,-72.0,-283.0,114.0,127.0,,,,
1898-02-01,USC00272174,-61.0,-122.0,191.0,229.0,,,,
1898-02-02,USC00272174,-100.0,-222.0,0.0,0.0,,,,
1898-02-03,USC00272174,-94.0,-333.0,0.0,0.0,,,,
1898-02-04,USC00272174,-33.0,-289.0,0.0,0.0,,,,
1898-02-05,USC00272174,28.0,-217.0,33.0,0.0,,,,
1898-02-06,USC00272174,33.0,-83.0,0.0,0.0,,,,
1898-02-07,USC00272174,61.0,-178.0,0.0,0.0,,,,
1898-02-08,USC00272174,67.0,-122.0,0.0,0.0,,,,
1898-02-09,USC00272174,72.0,-56.0,0.0,0.0,,,,
